,tweet,counter,degree
0,"['user', 'when', 'a', 'father', 'is', 'dysfunctional', 'and', 'is', 'so', 'selfish', 'he', 'drags', 'his', 'kiss', 'into', 'his', 'dysfunction', 'run']",0,Not offensive
1,"['user', 'user', 'thanks', 'for', 'left', 'credit', 'i', 'can', 'use', 'cause', 'they', 'dont', 'offer', 'wheelchair', 'van', 'in', 'pox', 'disappointed', 'getthanked']",0,Not offensive
2,"['midday', 'your', 'majesty']",0,Not offensive
3,"['model', 'i', 'love', 'u', 'take', 'with', 'u', 'all', 'the', 'time', 'in', 'or', 'ðððð', 'ððð']",0,Not offensive
4,"['factsguide', 'society', 'now', 'motivation']",0,Not offensive
5,"['22', 'huge', 'fan', 'fare', 'and', 'big', 'talking', 'before', 'they', 'leave', 'chaos', 'and', 'pay', 'disputes', 'when', 'they', 'get', 'there', 'allshowandnogo']",0,Not offensive
6,"['user', 'camping', 'tomorrow', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'dandy']",0,Not offensive
7,"['the', 'next', 'school', 'year', 'is', 'the', 'year', 'for', 'exam', 'can', 'think', 'about', 'that', 'ð', 'school', 'exam', 'hate', 'imagine', 'actorslife', 'revolutionschool', 'girl']",0,Not offensive
8,"['we', 'won', 'love', 'the', 'land', 'allen', 'caps', 'champions', 'cleveland', 'clevelandcavaliers', 'â']",0,Not offensive
9,"['user', 'user', 'welcome', 'here', 'in', 'its', 'so', 'grm']",0,Not offensive
10,"['â', 'ireland', 'consumer', 'price', 'index', 'mon', 'climbed', 'from', 'previous', '02', 'to', '05', 'in', 'may', 'blow', 'silver', 'gold', 'fore']",0,Not offensive
11,"['we', 'are', 'so', 'selfish', 'orlando', 'standwithorlando', 'pulseshooting', 'orlandoshooting', 'biggerproblems', 'selfish', 'heabreaking', 'values', 'love']",0,Not offensive
12,"['i', 'get', 'to', 'see', 'my', 'daddy', 'today', 'days', 'gettingfed']",0,Not offensive
13,"['user', 'can', 'calls', 'michigan', 'middle', 'school', 'build', 'the', 'wall', 'chant', 'trot']",0,Not offensive
14,"['no', 'comment', 'in', 'australia', 'opkillingbay', 'seashepherd', 'helpcovedolphins', 'thecove', 'helpcovedolphins']",0,Not offensive
15,"['ouchjunior', 'is', 'angryðgot7', 'junior', 'yugyoem', 'org']",0,Not offensive
16,"['i', 'am', 'thankful', 'for', 'having', 'a', 'paper', 'thankful', 'positive']",0,Not offensive
17,"['between', 'if', 'you', 'agree']",0,Not offensive
18,"['its', 'friday', 'ð', 'smiles', 'all', 'around', 'via', 'in', 'user', 'user', 'colonies', 'make', 'people']",0,Not offensive
19,"['as', 'we', 'all', 'know', 'essential', 'oils', 'are', 'not', 'made', 'of', 'chemicals']",0,Not offensive
20,"['euro2016', 'people', 'blaming', 'ha', 'for', 'conceded', 'goal', 'was', 'it', 'fat', 'money', 'who', 'gave', 'away', 'free', 'kick', 'knowing', 'able', 'can', 'hit', 'them', 'from', 'there']",0,Not offensive
21,"['sad', 'little', 'due', 'badly', 'coneofshame', 'cats', 'passed', 'funny', 'laughs']",0,Not offensive
22,"['product', 'of', 'the', 'day', 'happy', 'man', 'wine', 'tool', 'who', 'its', 'the', 'weekend', 'time', 'to', 'open', 'up', 'amp', 'drink', 'up']",0,Not offensive
23,"['user', 'user', 'lump', 'says', 'i', 'am', 'a', 'prove', 'it', 'lump']",0,Not offensive
24,"['user', 'this', 'ff', 'to', 'my', 'gamedev', 'indiedev', 'indiegamedev', 'squad', 'user', 'user', 'user', 'user', 'user']",0,Not offensive
25,"['beautiful', 'sign', 'by', 'vendor', '80', 'for', '4500', 'upsideofflorida', 'shopalyssas', 'love']",0,Not offensive
26,"['user', 'all', 'smiles', 'when', 'media', 'is', 'of', 'pressconference', 'in', 'natalya', 'turkey', 'sunday', 'throwback', 'love', 'ððâï']",0,Not offensive
27,"['we', 'had', 'a', 'great', 'panel', 'on', 'the', 'mediatization', 'of', 'the', 'public', 'service', 'ica16']",0,Not offensive
28,"['happy', 'fathers', 'day', 'user', 'ðððð']",0,Not offensive
29,"['50', 'people', 'went', 'to', 'nightclub', 'to', 'have', 'a', 'good', 'night', 'and', '1', 'man', 'actions', 'means', 'those', 'people', 'are', 'lost', 'to', 'their', 'families', 'forever', 'riporlando']",0,Not offensive
30,"['i', 'have', 'never', 'had', 'a', 'chance', 'to', 'vote', 'for', 'a', 'presidential', 'candidate', 'i', 'was', 'excited', 'about', 'and', 'this', 'cycle', 'looks', 'to', 'be', 'no', 'different']",0,Not offensive
31,"['alohafriday', 'time', 'does', 'not', 'exist', 'positivevibes', 'hawaiian', 'user', 'user', 'user', 'user']",0,Not offensive
